"Course","Term","FileName","Asset","Url","Bytes","Hash"
"EcoIV","20201","Lecture14_Notas.pdf","EcoIV_20201_Lecture14_Notas.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture14_Notas.pdf","8121604","05E637CEE8863B588BD30BCC7E672CA4"
"EcoIV","20201","Lecture15.pdf","EcoIV_20201_Lecture15.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture15.pdf","758101","5F45394AA9039A288CC02A7AED2E5B1A"
"EcoIV","20201","Lecture15_Notas.pdf","EcoIV_20201_Lecture15_Notas.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture15_Notas.pdf","20956378","51030C5FCB6C9C13855428FA4A1CD086"
"EcoIV","20201","Lecture16.pdf","EcoIV_20201_Lecture16.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture16.pdf","782352","FD65CD6FB31FDB70F8983D238B0766C4"
"EcoIV","20201","Lecture16_Notas.pdf","EcoIV_20201_Lecture16_Notas.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture16_Notas.pdf","21847359","710FFD902368FC1C1E74D2A938E762A5"
"EcoIV","20201","Lecture17.pdf","EcoIV_20201_Lecture17.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture17.pdf","541226","65ACD982EE4B7A77D7C77148C9DC9A52"
"EcoIV","20201","Lecture17_Notas.pdf","EcoIV_20201_Lecture17_Notas.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture17_Notas.pdf","6437228","E41036A3A61A10F141D471CEBE4CEDFD"
"EcoIV","20201","Lecture18.pdf","EcoIV_20201_Lecture18.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture18.pdf","1240592","028B02B65EAF10F19633ECA30BA08E1E"
"EcoIV","20201","Lecture18_Notas.pdf","EcoIV_20201_Lecture18_Notas.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture18_Notas.pdf","14880568","76D3A07A1C4E07B67A71EAD180420623"
"EcoIV","20201","Lecture19.pdf","EcoIV_20201_Lecture19.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture19.pdf","906282","F4FA816360F3A36EE9BF13C4BD7E25EE"
"EcoIV","20201","Lecture19_Notas.pdf","EcoIV_20201_Lecture19_Notas.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture19_Notas.pdf","14673282","1856A821BF9ACE4570D9C4E836DE1734"
"EcoIV","20201","Lecture19_short.pdf","EcoIV_20201_Lecture19_short.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture19_short.pdf","613200","2DC224B1FE8A5C6707AC6EE76EA637EE"
"EcoIV","20201","Lecture2.pdf","EcoIV_20192_Lecture2.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture2.pdf","465196","7EAF3F418E0A7A594D1943396A7B7B60"
"EcoIV","20201","Lecture20.pdf","EcoIV_20201_Lecture20.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture20.pdf","452171","BA51D60A76DC007F43EBC81039B3EFF8"
"EcoIV","20201","Lecture3.pdf","EcoIV_20192_Lecture3.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20192_Lecture3.pdf","634666","01D15008A1774997ABD02D9A372FB9A0"
"EcoIV","20201","Lecture4.pdf","EcoIV_20201_Lecture4.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture4.pdf","554798","5C991262F65615AB87C4F8397574B954"
"EcoIV","20201","Lecture5.pdf","EcoIV_20201_Lecture5.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture5.pdf","534126","412BA573E193FBFA6A68F4CFF7C2CE68"
"EcoIV","20201","Lecture6.pdf","EcoIV_20201_Lecture6.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture6.pdf","643989","CCC5A01EE8FEBCFE694DA288C67B3B38"
"EcoIV","20201","Lecture7.pdf","EcoIV_20201_Lecture7.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture7.pdf","444988","10E42F973A044ABFDF6E5EF14D0BD0E2"
"EcoIV","20201","Lecture8.pdf","EcoIV_20201_Lecture8.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture8.pdf","584181","262B2BD9B717565F202CEEE285873568"
"EcoIV","20201","Lecture9.pdf","EcoIV_20201_Lecture9.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Lecture9.pdf","496406","DA40560777239D3E9FF37D86195309EA"
"EcoIV","20201","Repaso_1_Finalv3.pdf","EcoIV_20201_Repaso_1_Finalv3.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Repaso_1_Finalv3.pdf","25504724","22E1F77ECD31B1171F88FACF9E893194"
"EcoIV","20201","Repaso_1_Parcial1.pdf","EcoIV_20201_Repaso_1_Parcial1.pdf","https://github.com/mauricioromero86/mauricioromero86.github.io/releases/download/teaching-archive/EcoIV_20201_Repaso_1_Parcial1.pdf","15746798","BFA6F4EB8FEA9F8BEC2722CB850D900A"
